,Time,,,,,,,,,,,,,,,Total,,,Number of game,,,,
Date,6-7,7-8,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,,,,,,,,
2024-03-08,MONTHLY,1000,0,0,0,0,1000,0,0,500,0,1000,0,0,0,3500,,,3,,,,
2024-03-09,MONTHLY,0,0,1000,0,0,0,1000,1000,0,1000,0,0,0,0,4000,,,4,,,,
2024-03-10,MONTHLY,0,0,,,,,,,,,600,0,0,0,600,,,1,,,,
2024-03-11,MONTHLY,0,0,,,,,,,,,1000,600,0,0,1600,,,2,,,,
2024-03-12,MONTHLY,0,0,,,,,,,,,0,0,0,0,0,,,0,,,,
2024-03-13,MONTHLY,0,0,,,,,,,,,500,1000,500,0,2000,,,2,,,,
2024-03-14,MONTHLY,0,0,,,,,,,,,1000,0,0,0,1000,,,1,,,,
2024-03-15,MONTHLY,0,0,,,,,,,,,0,950,0,0,950,,,1,,,,
2024-03-16,MONTHLY,0,0,0,1000,990,1000,1000,0,0,1000,-650,1000,0,0,5340,,,5,,,,
2024-03-17,MONTHLY,0,0,,,,,,,,,1000,1000,700,0,2700,,,3,,,,
2024-03-18,MONTHLY,0,0,,,,,,,,,1000,1000,500,0,2500,,,2,,,,
2024-03-19,MONTHLY,0,0,,,,,,,,,0,0,0,0,0,,,0,,,,
2024-03-20,MONTHLY,0,0,,,,,,,,,-550,1000,0,0,450,,,1,,,,
2024-03-21,MONTHLY,0,0,,,,,,,,,-700,1000,1000,0,1300,,,1,,,,
2024-03-22,MONTHLY,0,0,,,,,,,,,500,,,,500,,,1,,,,
2024-03-23,MONTHLY,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,,,1,,,,
2024-03-24,MONTHLY,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,,
2024-03-25,MONTHLY,0,0,,,,,,,0,0,0,0,0,0,0,,,0,,,,
2024-03-26,MONTHLY,0,0,,,,,,,0,0,0,1000,0,0,1000,,,1,,,,
2024-03-27,MONTHLY,0,0,,,,,,,0,0,1000,500,0,0,1500,,,1,,,,
2024-03-28,MONTHLY,0,0,,,,,,,0,0,1000,500,0,0,1500,,,1,,,,
2024-03-29,MONTHLY,0,0,,,,,,,0,0,1000,500,1000,0,2500,,,1,,,,
2024-03-30,MONTHLY,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,2000,,,2,,,,
2024-03-31,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2024-04-01,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1000,,,0,,,,
2024-04-02,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,
2024-04-03,MONTHLY,0,0,0,0,0,0,0,1000,1000,0,1000,1000,200,0,4200,,,4,,,,
2024-04-04,MONTHLY,,,,,,,,900,,,,,,,900,52090,,40,,,,
2024-04-05,MONTHLY,,,,,,,,,,,1000,400,,,1400,49590,,,,,,
2024-04-06,MONTHLY,,950,,,0,,1000,,,1000,600,,,,3550,46090,,,,,,
2024-04-07,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,, ,,,,
2024-04-08,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-09,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-10,MONTHLY,0,0,0,0,0,0,0,0,0,0,900,0,0,0,900,,,1,,,,
2024-04-11,MONTHLY,0,0,0,0,0,0,0,0,1000,Lost,700,0,0,0,1700,,,3,,,,
2024-04-12,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-13,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,
2024-04-14,MONTHLY,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,,,,,,,
2024-04-15,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-16,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-17,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-18,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-19,MONTHLY,0,0,0,0,0,0,0,0,0,0,500,0,0,0,500,,,1,,,,
2024-04-20,MONTHLY,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,1000,,,1,,,,
2024-04-21,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
2024-04-22,MONTHLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
